iter	Logloss
0	0.6267483369
1	0.5792747777
2	0.5421741861
3	0.5139680974
4	0.489990407
5	0.4723530539
6	0.4537164929
7	0.4418319063
8	0.4345325985
9	0.4245383615
10	0.4155207041
11	0.4096562802
12	0.4047616264
13	0.4001966971
14	0.395284591
15	0.3912520757
16	0.3873593436
17	0.3838669186
18	0.3814825301
19	0.3773190617
20	0.3753283293
21	0.3733930972
22	0.3711222943
23	0.3700711684
24	0.3684147947
25	0.365780469
26	0.363822441
27	0.3627323076
28	0.3614599237
29	0.35959498
30	0.3586337015
31	0.3580559207
32	0.3573256464
33	0.3558920721
34	0.3540474419
35	0.3534391265
36	0.3522661023
37	0.3512010292
38	0.3502126123
39	0.3493009467
40	0.3478727116
41	0.3472948626
42	0.3467981456
43	0.3464761425
44	0.3459253989
45	0.3454299882
46	0.3446953446
47	0.3443624277
48	0.3440594645
49	0.3436602192
50	0.3431712046
51	0.3428508369
52	0.3421408015
53	0.3414056209
54	0.3411206909
55	0.3400717504
56	0.3392669521
57	0.3388910721
58	0.3385955476
59	0.337450218
60	0.3372058194
61	0.3369709429
62	0.3367757319
63	0.3361380712
64	0.335429802
65	0.335182656
66	0.3348829905
67	0.3344739226
68	0.3341127779
69	0.3339633833
70	0.3333744412
71	0.3331008984
72	0.3328359492
73	0.3325058324
74	0.3323551096
75	0.332197487
76	0.3319820961
77	0.3314836036
78	0.3312543294
79	0.3309497654
80	0.3308176706
81	0.330710632
82	0.3300269026
83	0.3297878001
84	0.3296452967
85	0.3293395195
86	0.3292224102
87	0.328788584
88	0.3286719418
89	0.328352876
90	0.3281173206
91	0.3277704243
92	0.3275358078
93	0.3273722347
94	0.327088594
95	0.3268878271
96	0.3266736654
97	0.3264054208
98	0.3262177854
99	0.3261185314
100	0.3259460971
101	0.3257675305
102	0.3256421963
103	0.3254279211
104	0.3252920103
105	0.324972611
106	0.3246352162
107	0.3244664455
108	0.3241225219
109	0.3239219473
110	0.3237456389
111	0.3235277108
112	0.3233104055
113	0.3231728891
114	0.3228682966
115	0.3225045945
116	0.3224236222
117	0.3220966387
118	0.3220238034
119	0.3219496226
120	0.3217960981
121	0.3216826143
122	0.3215782613
123	0.3214688467
124	0.321283489
125	0.3211134101
126	0.3210039132
127	0.320904035
128	0.3206696159
129	0.3206066947
130	0.3203411364
131	0.320234571
132	0.3201166337
133	0.3200497278
134	0.3199324026
135	0.3198554827
136	0.3196780737
137	0.3196055394
138	0.3193952947
139	0.3192281622
140	0.3191034316
141	0.318966611
142	0.3187026008
143	0.3185334556
144	0.3184265372
145	0.3182019143
146	0.3180960584
147	0.317947957
148	0.3177156045
149	0.3175578789
150	0.3173949334
151	0.3172374839
152	0.317070255
153	0.3168591096
154	0.3166774415
155	0.3165930988
156	0.3165400877
157	0.3164008212
158	0.3163056597
159	0.3159522882
160	0.3155416067
161	0.3153801839
162	0.3152919238
163	0.3151604846
164	0.3150200839
165	0.314940174
166	0.31479679
167	0.314724926
168	0.3145922267
169	0.3144481951
170	0.3141532221
171	0.3140386663
172	0.313905192
173	0.3137922395
174	0.3135719983
175	0.3133429481
176	0.3131731501
177	0.3130444231
178	0.3130018997
179	0.3128555777
180	0.3127360745
181	0.3125379497
182	0.3123516754
183	0.3121213375
184	0.3119935073
185	0.3118581902
186	0.3116524093
187	0.3114416525
188	0.3113212222
189	0.31113809
190	0.3109958512
191	0.310754714
192	0.3105193296
193	0.3104266618
194	0.3103471021
195	0.3102266758
196	0.310200254
197	0.3100105883
198	0.3098676266
199	0.3097147326
200	0.3095506793
201	0.3094504474
202	0.3094147668
203	0.309294942
204	0.3091876628
205	0.3090628915
206	0.3089206176
207	0.3088376627
208	0.3088143921
209	0.30850236
210	0.3084127967
211	0.3083401925
212	0.3082039766
213	0.3080976764
214	0.3080742364
215	0.3079057774
216	0.3077762592
217	0.3076393237
218	0.307530201
219	0.3074365194
220	0.3072635021
221	0.3071620255
222	0.3070700243
223	0.3069614788
224	0.3069429534
225	0.3068199481
226	0.3067024051
227	0.3065317609
228	0.3065164905
229	0.3063837053
230	0.3062271232
231	0.3061291429
232	0.3060406343
233	0.3059805889
234	0.3059020185
235	0.3057346128
236	0.305681498
237	0.3055422302
238	0.3054281436
239	0.305256078
240	0.3051768757
241	0.3050925447
242	0.3050000137
243	0.3048433504
244	0.3048249384
245	0.3046984115
246	0.3045109931
247	0.3044221081
248	0.3042946495
249	0.3041688886
250	0.304081171
251	0.3039244003
252	0.3038379768
253	0.3037411782
254	0.3036640915
255	0.3036174873
256	0.3035347631
257	0.3035147265
258	0.3034036596
259	0.3032882548
260	0.3032123172
261	0.3031392446
262	0.3029570438
263	0.3029401095
264	0.3029023851
265	0.3028215414
266	0.3026700731
267	0.3025947785
268	0.3025115502
269	0.3024288318
270	0.3023374844
271	0.3021942662
272	0.3021596902
273	0.3020479917
274	0.3019463772
275	0.3018216285
276	0.301724201
277	0.3016580091
278	0.3015806804
279	0.3014529818
280	0.3013529452
281	0.3012894371
282	0.3011439781
283	0.301050567
284	0.3009931293
285	0.3009854665
286	0.3007409857
287	0.3006737836
288	0.3005803144
289	0.3004686124
290	0.3004222761
291	0.3003326715
292	0.300237325
293	0.3001660719
294	0.3000722603
295	0.2999973711
296	0.299858855
297	0.2997493566
298	0.2996494438
299	0.2995210465
300	0.2994315981
301	0.2994230472
302	0.299324948
303	0.2992573276
304	0.2991655026
305	0.2990487019
306	0.2989547514
307	0.2988364551
308	0.2988220256
309	0.2987595813
310	0.2987223601
311	0.298633119
312	0.2985360139
313	0.2984342662
314	0.298289445
315	0.2981713106
316	0.2981000793
317	0.2979662015
318	0.2978883698
319	0.2978305912
320	0.2977613798
321	0.2976788184
322	0.2976638415
323	0.2975753865
324	0.2974890545
325	0.2974192516
326	0.2973406489
327	0.2972738432
328	0.2971826836
329	0.2971015968
330	0.297063284
331	0.2969525369
332	0.2968389814
333	0.296668805
334	0.2965814584
335	0.2965678879
336	0.2964212836
337	0.2963147573
338	0.2962502372
339	0.296152802
340	0.2960716243
341	0.2960144707
342	0.2959003074
343	0.2958703684
344	0.2958058732
345	0.2957109367
346	0.2956340774
347	0.2955372136
348	0.295458166
349	0.2954529186
350	0.2953726053
351	0.295292787
352	0.2952450663
353	0.2951892419
354	0.2951302996
355	0.2950537449
356	0.2949835593
357	0.2949016575
358	0.294818646
359	0.2947366719
360	0.2946563397
361	0.2945714471
362	0.2945163762
363	0.2943905791
364	0.2942920038
365	0.2942865382
366	0.2942152917
367	0.2941568582
368	0.2940788455
369	0.2938855574
370	0.2937861149
371	0.2937589325
372	0.2936657737
373	0.2936573002
374	0.2935888198
375	0.2935034484
376	0.2934106938
377	0.2933629988
378	0.2933005406
379	0.293234271
380	0.2931758435
381	0.29314032
382	0.2931364718
383	0.293000173
384	0.2929962595
385	0.292933638
386	0.2929025287
387	0.29283088
388	0.2927751499
389	0.2927081003
390	0.2926653777
391	0.292585902
392	0.2925793439
393	0.2924956075
394	0.2923948338
395	0.2923249987
396	0.2922680815
397	0.2922132943
398	0.2921739651
399	0.29211314
400	0.2920207121
401	0.2920061088
402	0.2918632644
403	0.2918078052
404	0.2917380127
405	0.2916585992
406	0.2915705489
407	0.2912862357
408	0.2912459958
409	0.2911802587
410	0.2911768575
411	0.2911360771
412	0.2910838893
413	0.291040034
414	0.290959728
415	0.2909098294
416	0.2908194242
417	0.2907589484
418	0.2906969144
419	0.2906176194
420	0.290571031
421	0.2905435863
422	0.2905357118
423	0.290465718
424	0.2904264664
425	0.2903160961
426	0.2901669772
427	0.2901064789
428	0.2900576101
429	0.2900265235
430	0.2899562968
431	0.2898691045
432	0.2897992571
433	0.2896785742
434	0.2896178152
435	0.2895402783
436	0.289471732
437	0.2894044089
438	0.2892910455
439	0.2891939275
440	0.2891883371
441	0.2891371951
442	0.2890813677
443	0.2890240546
444	0.2889825163
445	0.2888910431
446	0.2888312152
447	0.2887587763
448	0.2887556172
449	0.288693502
450	0.2884822672
451	0.2884584631
452	0.288413228
453	0.2883840414
454	0.2882817312
455	0.2881881476
456	0.2881851652
457	0.288131436
458	0.2880755969
459	0.2880398696
460	0.2879725992
461	0.2879670909
462	0.2879242667
463	0.28787469
464	0.287792476
465	0.2877550242
466	0.2876646539
467	0.2876127304
468	0.2875407947
469	0.2875114301
470	0.2874936576
471	0.2874013822
472	0.2873158846
473	0.2872555863
474	0.2872121684
475	0.2871785744
476	0.2871757914
477	0.2871171727
478	0.2869962933
479	0.2869899906
480	0.2869575691
481	0.2869527492
482	0.2868888384
483	0.2868456855
484	0.2867851508
485	0.2867417916
486	0.2866794473
487	0.2866291062
488	0.286620573
489	0.2865559724
490	0.2864572426
491	0.2864109806
492	0.2862995393
493	0.2862407758
494	0.2861685872
495	0.2861124072
496	0.2860442161
497	0.2859617524
498	0.285924909
499	0.285870624
500	0.2858069953
501	0.2857705162
502	0.2857368843
503	0.2857034789
504	0.2856346417
505	0.2855289238
506	0.2854648187
507	0.2854344744
508	0.2853317374
509	0.2852580706
510	0.2852555383
511	0.2852100411
512	0.2851325142
513	0.2850301218
514	0.2849823667
515	0.2849270751
516	0.2848831242
517	0.284801238
518	0.284757584
519	0.2846824855
520	0.2845906659
521	0.2845630063
522	0.2845161062
523	0.2844956372
524	0.2844286119
525	0.2843953204
526	0.2843929102
527	0.2843350663
528	0.2842429343
529	0.2841906727
530	0.2841218602
531	0.284116926
532	0.284096336
533	0.2840909576
534	0.2840689993
535	0.2839851643
536	0.2839661304
537	0.2838921275
538	0.2838406082
539	0.2837281898
540	0.2836510281
541	0.2835548501
542	0.2834861163
543	0.2833664098
544	0.2832949372
545	0.283163212
546	0.283111615
547	0.2830486321
548	0.2829800018
549	0.2829292439
550	0.2828625806
551	0.2827823178
552	0.2827800715
553	0.2827508426
554	0.2827268929
555	0.2826894463
556	0.282687289
557	0.2826439711
558	0.2826406306
559	0.2826386545
560	0.2826076584
561	0.2825607686
562	0.2825163851
563	0.2824797849
564	0.2824356782
565	0.2823871834
566	0.2823391956
567	0.2823304322
568	0.2822991697
569	0.2822588503
570	0.2822230233
571	0.2821902606
572	0.2820864763
573	0.282004326
574	0.281999741
575	0.2819110699
576	0.2818442965
577	0.2818091175
578	0.2817817487
579	0.2817553539
580	0.2817090612
581	0.2817062535
582	0.2816588359
583	0.2816215146
584	0.2815803819
585	0.2815147805
586	0.2814335497
587	0.2813719722
588	0.2813378685
589	0.281278128
590	0.2812267291
591	0.2811602392
592	0.2811148203
593	0.2810912215
594	0.2810154329
595	0.2809663743
596	0.2809032546
597	0.2808467704
598	0.2807951658
599	0.2807933577
600	0.2807473998
601	0.28072307
602	0.2806849453
603	0.2805461262
604	0.280509332
605	0.2805045084
606	0.280426881
607	0.2803583301
608	0.2803133636
609	0.2802880931
610	0.2802359841
611	0.2801673563
612	0.2801650094
613	0.2801192148
614	0.2800989488
615	0.2800230885
616	0.2799676715
617	0.2798640372
618	0.2798004671
619	0.2797850933
620	0.2797034842
621	0.2796315435
622	0.2795879545
623	0.2795430488
624	0.2794781436
625	0.2794408729
626	0.2793631423
627	0.2793228566
628	0.2793199571
629	0.2792784545
630	0.2792253414
631	0.2791916424
632	0.2791899721
633	0.2791677442
634	0.2791083451
635	0.279075736
636	0.2790470392
637	0.2789833045
638	0.278951038
639	0.278924938
640	0.2788577178
641	0.2788201054
642	0.2787788856
643	0.2787326207
644	0.2787233751
645	0.2786835172
646	0.2786562927
647	0.2786237473
648	0.2785683345
649	0.278540871
650	0.2785026969
651	0.2784574258
652	0.2783730157
653	0.278318911
654	0.2782845804
655	0.2782501259
656	0.278216275
657	0.2781716144
658	0.2781512077
659	0.2781171712
660	0.2780628446
661	0.2780196967
662	0.2779808198
663	0.2779076016
664	0.2779009576
665	0.2778411231
666	0.2777896662
667	0.2777849486
668	0.2777273858
669	0.2777051774
670	0.2777035541
671	0.2776892618
672	0.2776359218
673	0.2776053912
674	0.2775058876
675	0.2774629006
676	0.2774345586
677	0.2773883961
678	0.2773519368
679	0.2773095489
680	0.2773008149
681	0.2772637512
682	0.2771925716
683	0.2771877977
684	0.277162283
685	0.2771161542
686	0.2770270988
687	0.27696713
688	0.276965596
689	0.2769104368
690	0.2769053539
691	0.2768762321
692	0.2767884651
693	0.2767569223
694	0.2767555045
695	0.2766997182
696	0.276649874
697	0.2766198714
698	0.2765513785
699	0.2765499482
700	0.2765011782
701	0.2764286698
702	0.2764150909
703	0.2763736224
704	0.2763288677
705	0.2762811114
706	0.2762273691
707	0.2761796274
708	0.2760994344
709	0.2760458655
710	0.276017916
711	0.2759770065
712	0.2759415206
713	0.2759392257
714	0.2758760735
715	0.2758270629
716	0.2757622732
717	0.275711429
718	0.2756791034
719	0.2756284393
720	0.275625162
721	0.2756208269
722	0.275561866
723	0.275528431
724	0.2754906091
725	0.2754580343
726	0.2754112235
727	0.2754010635
728	0.2753946077
729	0.2753595067
730	0.2753050573
731	0.2752700991
732	0.275264229
733	0.2752457998
734	0.2752014918
735	0.2751373831
736	0.2751200024
737	0.2750451682
738	0.2750182392
739	0.2750168712
740	0.2749598904
741	0.2749226609
742	0.2748992237
743	0.2748532753
744	0.2747639448
745	0.2747359975
746	0.2747254637
747	0.2747238213
748	0.2746539271
749	0.2745993757
750	0.2745694718
751	0.2744941607
752	0.2744545469
753	0.2743967572
754	0.2743735849
755	0.2742754065
756	0.2742741398
757	0.2742436328
758	0.2742022871
759	0.2741497241
760	0.2741155494
761	0.2740347904
762	0.2739735571
763	0.2739471225
764	0.2739371485
765	0.2738766184
766	0.2738246125
767	0.2737702315
768	0.2737689642
769	0.2737313565
770	0.2736629736
771	0.2736267117
772	0.2735928113
773	0.2735612351
774	0.2735508743
775	0.2735192243
776	0.273473191
777	0.2734253702
778	0.2733622967
779	0.2733495599
780	0.2733078328
781	0.2732921673
782	0.2732501865
783	0.2731872393
784	0.2731455943
785	0.2730824449
786	0.2730678937
787	0.2730390586
788	0.2729775724
789	0.2729372294
790	0.2729151862
791	0.2729027051
792	0.2728937016
793	0.2728497688
794	0.2727945379
795	0.2727691964
796	0.2727236913
797	0.2726763257
798	0.2726163866
799	0.2725728208
800	0.272512395
801	0.2724751975
802	0.2724111492
803	0.2723783743
804	0.2723771684
805	0.2723396153
806	0.2722668955
807	0.2722436944
808	0.2721733774
809	0.2721363152
810	0.272112047
811	0.2721097899
812	0.2720669584
813	0.2720031396
814	0.2719719173
815	0.2719678291
816	0.2719317969
817	0.2718983469
818	0.271856916
819	0.271830819
820	0.2718272733
821	0.2718186332
822	0.2717908928
823	0.2717113778
824	0.2716598488
825	0.271658642
826	0.2716133476
827	0.2715856528
828	0.2715417292
829	0.2715049369
830	0.2714429043
831	0.2714115903
832	0.2713657192
833	0.2713209147
834	0.2712801006
835	0.2712431707
836	0.2712055939
837	0.2711769881
838	0.2711464363
839	0.2710690801
840	0.2710398079
841	0.2710111018
842	0.2709666815
843	0.2709589188
844	0.2709030003
845	0.270899837
846	0.2708986921
847	0.2708975623
848	0.270893991
849	0.2708582418
850	0.2708149357
851	0.2708108586
852	0.2707910119
853	0.2707529105
854	0.2707358389
855	0.2706920574
856	0.270676146
857	0.2706311533
858	0.2705508006
859	0.2705115178
860	0.2704716887
861	0.2704278101
862	0.2704267391
863	0.2703650707
864	0.2703542456
865	0.2703026404
866	0.2702625299
867	0.2702248021
868	0.2701831128
869	0.2701809985
870	0.2701516503
871	0.2701109575
872	0.2700880816
873	0.2700551128
874	0.2699815907
875	0.2699366359
876	0.2699229129
877	0.2698959291
878	0.2698669403
879	0.2698320891
880	0.2698231893
881	0.2697847162
882	0.269783668
883	0.2697237294
884	0.2697225812
885	0.2697028311
886	0.2696837006
887	0.2696156795
888	0.2696069948
889	0.2695867592
890	0.2695419574
891	0.2694984278
892	0.2694360472
893	0.2694073606
894	0.2693694931
895	0.2693685119
896	0.2692970773
897	0.2692938097
898	0.2692770974
899	0.2692279167
900	0.2692210797
901	0.269175198
902	0.269151136
903	0.2691215265
904	0.2691057923
905	0.2690370987
906	0.2690100364
907	0.2689590252
908	0.268941291
909	0.2689199359
910	0.2689189887
911	0.2688877189
912	0.2688759661
913	0.2688513607
914	0.2688097108
915	0.2687975322
916	0.2687520695
917	0.2687182264
918	0.2687164382
919	0.268678415
920	0.2686398979
921	0.2686135545
922	0.2685851061
923	0.26858356
924	0.268552586
